round,comm_costs
1,143240
2,143240
3,143240
4,143240
5,143240
6,143240
7,143240
8,143240
9,143240
10,143240
11,143240
12,143240
13,143240
14,143240
15,143240
16,143240
17,143240
18,143240
19,143240
20,143240
21,143240
22,143240
23,143240
24,143240
25,143240
26,143240
27,143240
28,143240
29,143240
30,143240
31,143240
32,143240
33,143240
34,143240
35,143240
36,143240
37,143240
38,143240
39,143240
40,143240
41,143240
42,143240
43,143240
44,143240
45,143240
46,143240
47,143240
48,143240
49,143240
50,143240
51,143240
52,143240
53,143240
54,143240
55,143240
56,143240
57,143240
58,143240
59,143240
60,143240
61,143240
62,143240
63,143240
64,143240
65,143240
66,143240
67,143240
68,143240
69,143240
70,143240
71,143240
72,143240
73,143240
74,143240
75,143240
76,143240
77,143240
78,143240
79,143240
80,143240
81,143240
82,143240
83,143240
84,143240
85,143240
86,143240
87,143240
88,143240
89,143240
90,143240
91,143240
92,143240
93,143240
94,143240
95,143240
96,143240
97,143240
98,143240
99,143240
100,214860
