round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.41536,0.4111,0.41517,0.40847,0.41536,0.41536,0.41536,0.88565
2,0.45,0.44934,0.44991,0.44839,0.45,0.45,0.45,0.78725
3,0.50943,0.51113,0.50973,0.49372,0.50943,0.50943,0.50943,0.74603
4,0.57621,0.62449,0.57675,0.53155,0.57621,0.57621,0.57621,0.71057
5,0.63907,0.64572,0.63925,0.63509,0.63907,0.63907,0.63907,0.65307
6,0.63121,0.64962,0.63091,0.6192,0.63121,0.63121,0.63121,0.63654
7,0.66664,0.6802,0.66641,0.66005,0.66664,0.66664,0.66664,0.61983
8,0.69343,0.7128,0.69369,0.68647,0.69343,0.69343,0.69343,0.60657
9,0.69414,0.70256,0.69397,0.69081,0.69414,0.69414,0.69414,0.60425
10,0.7035,0.7055,0.70341,0.70272,0.7035,0.7035,0.7035,0.59659
11,0.60557,0.69576,0.60615,0.55489,0.60557,0.60557,0.60557,0.67814
12,0.54564,0.69033,0.54489,0.43783,0.54564,0.54564,0.54564,0.77115
13,0.54993,0.69198,0.54919,0.44662,0.54993,0.54993,0.54993,0.76867
14,0.62714,0.69317,0.62664,0.59179,0.62714,0.62714,0.62714,0.6479
15,0.64143,0.69763,0.64097,0.61355,0.64143,0.64143,0.64143,0.639
16,0.70143,0.71796,0.70166,0.69581,0.70143,0.70143,0.70143,0.59328
17,0.70864,0.71046,0.70856,0.70796,0.70864,0.70864,0.70864,0.59118
18,0.64264,0.69827,0.64219,0.61526,0.64264,0.64264,0.64264,0.63942
19,0.71107,0.71242,0.711,0.71057,0.71107,0.71107,0.71107,0.58956
20,0.68064,0.70417,0.68035,0.67095,0.68064,0.68064,0.68064,0.61134
21,0.67764,0.704,0.67733,0.66664,0.67764,0.67764,0.67764,0.61332
22,0.64586,0.69898,0.64541,0.62012,0.64586,0.64586,0.64586,0.63854
23,0.6185,0.70233,0.61905,0.575,0.6185,0.6185,0.6185,0.68089
24,0.70493,0.7187,0.70514,0.70035,0.70493,0.70493,0.70493,0.58914
25,0.71493,0.71502,0.71491,0.71489,0.71493,0.71493,0.71493,0.58625
26,0.69464,0.70795,0.69442,0.68953,0.69464,0.69464,0.69464,0.60131
27,0.68636,0.70594,0.68609,0.67853,0.68636,0.68636,0.68636,0.60773
28,0.71464,0.71946,0.71477,0.71315,0.71464,0.71464,0.71464,0.58311
29,0.717,0.71775,0.71705,0.71678,0.717,0.717,0.717,0.58247
30,0.66414,0.70271,0.66377,0.64706,0.66414,0.66414,0.66414,0.62295
31,0.71286,0.71432,0.71279,0.71232,0.71286,0.71286,0.71286,0.5881
32,0.708,0.72258,0.70822,0.70328,0.708,0.708,0.708,0.58846
33,0.663,0.71218,0.66341,0.64261,0.663,0.663,0.663,0.62392
34,0.71879,0.7204,0.71886,0.71831,0.71879,0.71879,0.71879,0.58129
35,0.66021,0.71198,0.66064,0.63848,0.66021,0.66021,0.66021,0.6267
36,0.678,0.71637,0.67836,0.66333,0.678,0.678,0.678,0.61071
37,0.67264,0.70593,0.6723,0.65858,0.67264,0.67264,0.67264,0.61731
38,0.718,0.72195,0.71811,0.71681,0.718,0.718,0.718,0.58091
39,0.71764,0.71767,0.71763,0.71763,0.71764,0.71764,0.71764,0.58273
40,0.71671,0.72265,0.71685,0.7149,0.71671,0.71671,0.71671,0.58132
41,0.65921,0.70394,0.65881,0.6391,0.65921,0.65921,0.65921,0.62906
42,0.71636,0.71715,0.7163,0.71607,0.71636,0.71636,0.71636,0.58483
43,0.68457,0.70792,0.68428,0.67525,0.68457,0.68457,0.68457,0.60961
44,0.70886,0.71326,0.70873,0.70727,0.70886,0.70886,0.70886,0.5904
45,0.72064,0.72186,0.72071,0.7203,0.72064,0.72064,0.72064,0.5786
46,0.71971,0.72042,0.71976,0.71952,0.71971,0.71971,0.71971,0.57894
47,0.64743,0.71157,0.6479,0.61894,0.64743,0.64743,0.64743,0.64439
48,0.71307,0.71598,0.71297,0.71204,0.71307,0.71307,0.71307,0.58679
49,0.71321,0.72563,0.71341,0.70934,0.71321,0.71321,0.71321,0.58368
50,0.62714,0.70728,0.62767,0.58778,0.62714,0.62714,0.62714,0.67595
